"","Average Performance of Students in EVS in Class 5, Percent (Male)"
"Badgam","62 (2017)"
"Baramula","63.9 (2017)"
"Bandipore","53.3 (2017)"
"Anantnag","57.1 (2017)"
"Doda","45.4 (2017)"
"Kupwara","58.1 (2017)"
"Leh(Ladakh)","41.2 (2017)"
"Kargil","46.8 (2017)"
"Punch","53.9 (2017)"
"Rajouri","49.8 (2017)"
"Kathua","48.5 (2017)"
"Srinagar","58.9 (2017)"
"Ganderbal","55.3 (2017)"
"Pulwama","59.2 (2017)"
"Shupiyan","62.4 (2017)"
"Kulgam","59.4 (2017)"
"Ramban","58.7 (2017)"
"Kishtwar","49 (2017)"
"Udhampur","48.3 (2017)"
"Reasi","47.1 (2017)"
"Jammu","47.9 (2017)"
"Samba","59.6 (2017)"
"Jammu & Kashmir - NA",""
