"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Badgam","64.3 (2017)"
"Baramula","66 (2017)"
"Bandipore","49.5 (2017)"
"Anantnag","56.6 (2017)"
"Doda","46 (2017)"
"Kupwara","61.5 (2017)"
"Leh(Ladakh)","44.4 (2017)"
"Kargil","48.1 (2017)"
"Punch","50.8 (2017)"
"Rajouri","50.3 (2017)"
"Kathua","48 (2017)"
"Srinagar","59.5 (2017)"
"Ganderbal","55.1 (2017)"
"Pulwama","60.8 (2017)"
"Shupiyan","62 (2017)"
"Kulgam","58.1 (2017)"
"Ramban","56.9 (2017)"
"Kishtwar","47.5 (2017)"
"Udhampur","45.6 (2017)"
"Reasi","46.7 (2017)"
"Jammu","47.1 (2017)"
"Samba","57.2 (2017)"
"Jammu & Kashmir - NA",""
