"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Chennai","51.4 (2017)"
"Kancheepuram","53.6 (2017)"
"Erode","60.4 (2017)"
"Dindigul","58.4 (2017)"
"Cuddalore","57 (2017)"
"Kanniyakumari","61.6 (2017)"
"Dharmapuri","56.9 (2017)"
"Coimbatore","62.9 (2017)"
"Thiruvallur","55.1 (2017)"
"Salem","55.3 (2017)"
"Namakkal","58.5 (2017)"
"The Nilgiris","57.8 (2017)"
"Karur","55.3 (2017)"
"Perambalur","60.5 (2017)"
"Nagappattinam","55.5 (2017)"
"Thiruvarur","54.5 (2017)"
"Thanjavur","58.7 (2017)"
"Pudukkottai","58.8 (2017)"
"Sivaganga","61.3 (2017)"
"Madurai","56.1 (2017)"
"Theni","55.2 (2017)"
"Ramanathapuram","61.9 (2017)"
"Vellore","49.2 (2017)"
"Tiruvannamalai","53.2 (2017)"
"Viluppuram","54.5 (2017)"
"Tiruchirappalli","55.4 (2017)"
"Virudunagar","58 (2017)"
"Thoothukkudi","61.3 (2017)"
"Tirunelveli","60 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
