"","Average Performance of Students in Mathematics in Class 8, Percent (Female)"
"Tawang","33.9 (2017)"
"West Kameng","29.3 (2017)"
"East Kameng","35.1 (2017)"
"Papum Pare","34.9 (2017)"
"Upper Subansiri","35.1 (2017)"
"West Siang","33.4 (2017)"
"East Siang","28.8 (2017)"
"Upper Siang","32.3 (2017)"
"Changlang","28.3 (2017)"
"Tirap","35.5 (2017)"
"Lower Subansiri","32.5 (2017)"
"Kurung Kumey","41.1 (2017)"
"Dibang Valley","31 (2017)"
"Lower Dibang Valley","28.3 (2017)"
"Lohit","31.9 (2017)"
"Anjaw","31.5 (2017)"
