"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Banas Kantha","56.4 (2017)"
"Gandhinagar","47.3 (2017)"
"Ahmadabad","46.2 (2017)"
"Amreli","42.2 (2017)"
"Bhavnagar","55.1 (2017)"
"Anand","47.1 (2017)"
"Dahod","59.6 (2017)"
"Bharuch","36.5 (2017)"
"Kachchh","41.1 (2017)"
"Patan","47.2 (2017)"
"Mahesana","50.3 (2017)"
"Sabar Kantha","40.8 (2017)"
"Surendranagar","45.5 (2017)"
"Rajkot","43.9 (2017)"
"Jamnagar","39.8 (2017)"
"Porbandar","43.5 (2017)"
"Junagadh","46.8 (2017)"
"Kheda","52.6 (2017)"
"Panch Mahals","58 (2017)"
"Narmada","37.1 (2017)"
"The Dangs","45.5 (2017)"
"Navsari","48.2 (2017)"
"Surat","45.6 (2017)"
"Tapi","43.7 (2017)"
"Vadodara","43.6 (2017)"
"Valsad","47.7 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
